lat,lon
34.292205,108.898114
34.293633,108.898415
34.29556,108.898824
34.297774,108.899309
34.298736,108.899605
34.299675,108.899996
34.300272,108.900472
34.300604,108.900908
34.301032,108.901487
34.301416,108.902318
34.301621,108.90323
34.301659,108.910326
34.301774,108.912554
34.302359,108.919282
34.302717,108.924385
34.302956,108.925162
34.3035,108.926069
34.304238,108.926662
34.304972,108.9269
34.311033,108.927322
34.313366,108.927479
34.313996,108.927645
34.314749,108.928077
34.315185,108.928539
34.315539,108.929092
34.315822,108.929819
34.315934,108.93048
34.316057,108.933709
34.316269,108.944381
34.316445,108.96029
34.316463,108.971039
34.316359,108.982115
34.316321,108.991098
34.316348,108.996187
34.316392,108.997081
34.316467,108.997611
34.316497,108.998145
34.316575,109.002201
