lat,lon
34.189280, 108.889981
34.188961, 108.889783
34.188650, 108.889595
34.188113, 108.889278
34.187625, 108.888994
34.186760, 108.888484
34.185833, 108.887948
34.184564, 108.887181
34.182878, 108.886210
34.181343, 108.885303
34.179626, 108.884305
34.177904, 108.883291
34.176200, 108.882288
34.174474, 108.881269
34.173684, 108.880733
34.173009, 108.880229
34.172539, 108.879821
34.171989, 108.879290
34.171323, 108.878614
34.170471, 108.877536
34.169716, 108.876447
34.168793, 108.874822
34.167888, 108.873175
34.166685, 108.870976
34.165194, 108.868594
34.162939, 108.865783
34.159619, 108.862661
34.156645, 108.860644
34.153253, 108.859045
34.150652, 108.858036
34.147429, 108.856749
34.144446, 108.855226
34.141267, 108.853252
34.137910, 108.851128
34.132679, 108.847823
34.129331, 108.845752
34.125992, 108.843638
34.115039, 108.836714
34.110615, 108.833977
34.107533, 108.832765
34.105818, 108.832561
34.101003, 108.833087
34.097609, 108.833344
34.091514, 108.832443
34.079136, 108.830104
34.076337, 108.829095
34.073938, 108.827657
34.069699, 108.824198
34.065095, 108.822278
34.061433, 108.822160
34.052651, 108.822106
34.051647, 108.821601
